----------------------------------------ARGUMENTS----------------------------------------
data_path                                ../../datasets/Amazon/MoviesAndTv/reviews.pickle
index_dir                                ../../datasets/Amazon/MoviesAndTv/1
emsize                                   512
nhead                                    2
nhid                                     2048
nlayers                                  2
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   100
batch_size                               128
seed                                     1111
cuda                                     True
log_interval                             200
checkpoint                               ./models/AmazonMovies/
outf                                     generatedmovies.txt
vocab_size                               20000
endure_times                             5
rating_reg                               0.1
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
----------------------------------------ARGUMENTS----------------------------------------
[2022-05-05 11:19:09.422690]: Loading data
HALO
MLP(
  (linear1): Linear(in_features=512, out_features=512, bias=True)
  (linear2): Linear(in_features=512, out_features=1, bias=True)
  (sigmoid): Sigmoid()
)
[2022-05-05 11:19:21.036007]: epoch 1
[2022-05-05 11:19:42.373426]: context ppl 2357.1176 | text ppl 1653.0324 | rating loss 10.2867 |   200/ 2762 batches
[2022-05-05 12:23:25.081751]: context ppl 441.6688 | text ppl 36.5157 | rating loss 0.8621 |  1400/ 2762 batches
[2022-05-05 12:23:44.236017]: context ppl 439.8051 | text ppl 36.6727 | rating loss 0.8748 |  1600/ 2762 batches
[2022-05-05 12:24:03.394560]: context ppl 442.0842 | text ppl 36.6508 | rating loss 0.8888 |  1800/ 2762 batches
[2022-05-05 12:24:22.550310]: context ppl 436.1282 | text ppl 36.3250 | rating loss 0.8780 |  2000/ 2762 batches
[2022-05-05 12:24:41.709386]: context ppl 442.4658 | text ppl 36.9540 | rating loss 0.8762 |  2200/ 2762 batches
[2022-05-05 12:25:00.872049]: context ppl 437.6043 | text ppl 36.5379 | rating loss 0.8900 |  2400/ 2762 batches
[2022-05-05 12:25:20.025156]: context ppl 442.2344 | text ppl 36.6125 | rating loss 0.8793 |  2600/ 2762 batches
[2022-05-05 12:25:35.479959]: context ppl 438.5213 | text ppl 36.0769 | rating loss 0.8696 |  2762/ 2762 batches
[2022-05-05 12:25:47.520021]: context ppl 487.1167 | text ppl 44.0535 | rating loss 0.9293 | valid loss 4.7147 on validation
[2022-05-05 12:25:47.832101]: epoch 15
[2022-05-05 12:26:07.178237]: context ppl 432.2035 | text ppl 35.3430 | rating loss 0.8747 |   200/ 2762 batches
[2022-05-05 12:26:26.342614]: context ppl 432.6190 | text ppl 35.4547 | rating loss 0.8837 |   400/ 2762 batches
[2022-05-05 12:26:45.495526]: context ppl 431.5481 | text ppl 35.0912 | rating loss 0.8909 |   600/ 2762 batches
[2022-05-05 12:27:04.660608]: context ppl 437.0367 | text ppl 35.5509 | rating loss 0.8493 |   800/ 2762 batches
[2022-05-05 12:27:23.824440]: context ppl 433.1060 | text ppl 35.3585 | rating loss 0.8765 |  1000/ 2762 batches
[2022-05-05 12:27:42.985996]: context ppl 434.5170 | text ppl 35.9325 | rating loss 0.8581 |  1200/ 2762 batches
[2022-05-05 12:28:02.155644]: context ppl 432.0827 | text ppl 35.7374 | rating loss 0.8803 |  1400/ 2762 batches
[2022-05-05 12:28:21.329612]: context ppl 435.8879 | text ppl 36.0019 | rating loss 0.8757 |  1600/ 2762 batches
[2022-05-05 12:28:40.496756]: context ppl 437.3113 | text ppl 36.0753 | rating loss 0.8882 |  1800/ 2762 batches
[2022-05-05 12:28:59.658792]: context ppl 433.5359 | text ppl 35.8173 | rating loss 0.8839 |  2000/ 2762 batches
[2022-05-05 12:29:18.823126]: context ppl 435.7934 | text ppl 35.9879 | rating loss 0.8717 |  2200/ 2762 batches
[2022-05-05 12:29:37.984206]: context ppl 436.8120 | text ppl 36.1024 | rating loss 0.8818 |  2400/ 2762 batches
[2022-05-05 12:29:57.150878]: context ppl 437.8433 | text ppl 36.0312 | rating loss 0.8813 |  2600/ 2762 batches
[2022-05-05 12:30:12.605506]: context ppl 433.4660 | text ppl 36.0134 | rating loss 0.8897 |  2762/ 2762 batches
[2022-05-05 12:30:24.643011]: context ppl 484.9241 | text ppl 43.8060 | rating loss 0.9259 | valid loss 4.7056 on validation
[2022-05-05 12:30:24.949697]: epoch 16
[2022-05-05 12:30:44.281953]: context ppl 427.4741 | text ppl 34.5407 | rating loss 0.8575 |   200/ 2762 batches
[2022-05-05 12:31:03.437960]: context ppl 427.0597 | text ppl 34.6693 | rating loss 0.8695 |   400/ 2762 batches
[2022-05-05 12:31:22.590046]: context ppl 433.4776 | text ppl 35.2270 | rating loss 0.8546 |   600/ 2762 batches
[2022-05-05 12:31:41.747405]: context ppl 430.4169 | text ppl 35.0009 | rating loss 0.8688 |   800/ 2762 batches
[2022-05-05 12:32:00.905372]: context ppl 434.4234 | text ppl 35.3310 | rating loss 0.8565 |  1000/ 2762 batches
[2022-05-05 12:32:20.071772]: context ppl 427.9422 | text ppl 35.0673 | rating loss 0.8747 |  1200/ 2762 batches
[2022-05-05 12:32:39.225596]: context ppl 430.8522 | text ppl 35.2064 | rating loss 0.8834 |  1400/ 2762 batches
[2022-05-05 12:32:58.383021]: context ppl 431.8839 | text ppl 35.5671 | rating loss 0.8776 |  1600/ 2762 batches
[2022-05-05 12:33:17.544058]: context ppl 428.4781 | text ppl 34.9325 | rating loss 0.8689 |  1800/ 2762 batches
[2022-05-05 12:33:36.702341]: context ppl 432.7374 | text ppl 35.5437 | rating loss 0.8800 |  2000/ 2762 batches
[2022-05-05 12:33:55.860896]: context ppl 433.0072 | text ppl 35.4940 | rating loss 0.8736 |  2200/ 2762 batches
[2022-05-05 12:34:15.024190]: context ppl 431.8267 | text ppl 35.1664 | rating loss 0.8777 |  2400/ 2762 batches
[2022-05-05 12:34:34.183095]: context ppl 433.4668 | text ppl 35.3827 | rating loss 0.8723 |  2600/ 2762 batches
[2022-05-05 12:34:49.626302]: context ppl 432.7773 | text ppl 35.6223 | rating loss 0.8803 |  2762/ 2762 batches
[2022-05-05 12:35:01.667995]: context ppl 484.4940 | text ppl 43.6372 | rating loss 0.9256 | valid loss 4.7015 on validation
[2022-05-05 12:35:01.992050]: epoch 17
[2022-05-05 12:35:21.316047]: context ppl 419.5484 | text ppl 33.9818 | rating loss 0.8864 |   200/ 2762 batches
[2022-05-05 12:35:40.459362]: context ppl 423.5633 | text ppl 34.3884 | rating loss 0.8560 |   400/ 2762 batches
[2022-05-05 12:35:59.611278]: context ppl 428.3107 | text ppl 34.5823 | rating loss 0.8722 |   600/ 2762 batches
[2022-05-05 12:36:18.760208]: context ppl 426.3270 | text ppl 34.3274 | rating loss 0.8899 |   800/ 2762 batches
[2022-05-05 12:36:37.914142]: context ppl 426.6740 | text ppl 34.4852 | rating loss 0.8608 |  1000/ 2762 batches
[2022-05-05 12:36:57.069972]: context ppl 427.2695 | text ppl 34.7175 | rating loss 0.8791 |  1200/ 2762 batches
[2022-05-05 12:37:16.227409]: context ppl 427.7123 | text ppl 34.8543 | rating loss 0.8616 |  1400/ 2762 batches
[2022-05-05 12:37:35.370016]: context ppl 428.7303 | text ppl 34.8085 | rating loss 0.8598 |  1600/ 2762 batches
[2022-05-05 12:37:54.524252]: context ppl 429.4644 | text ppl 34.8357 | rating loss 0.8646 |  1800/ 2762 batches
[2022-05-05 12:38:13.675336]: context ppl 431.3534 | text ppl 34.9610 | rating loss 0.8782 |  2000/ 2762 batches
[2022-05-05 12:38:32.849096]: context ppl 427.4171 | text ppl 34.6528 | rating loss 0.8606 |  2200/ 2762 batches
[2022-05-05 12:38:52.011956]: context ppl 428.8305 | text ppl 34.7261 | rating loss 0.8744 |  2400/ 2762 batches
[2022-05-05 12:39:11.173830]: context ppl 429.5124 | text ppl 34.9796 | rating loss 0.8658 |  2600/ 2762 batches
[2022-05-05 12:39:26.630677]: context ppl 429.3599 | text ppl 35.1689 | rating loss 0.8573 |  2762/ 2762 batches
[2022-05-05 12:39:38.677360]: context ppl 485.4911 | text ppl 43.7011 | rating loss 0.9319 | valid loss 4.7093 on validation
[2022-05-05 12:39:38.677360]: Endured 2 time(s)
[2022-05-05 12:39:38.678362]: Learning rate set to 0.06250000
[2022-05-05 12:39:38.678362]: epoch 18
[2022-05-05 12:39:58.008834]: context ppl 420.5406 | text ppl 33.4720 | rating loss 0.8729 |   200/ 2762 batches
[2022-05-05 12:40:17.483773]: context ppl 418.0635 | text ppl 33.3037 | rating loss 0.8508 |   400/ 2762 batches
[2022-05-05 12:40:36.730670]: context ppl 419.9805 | text ppl 33.3186 | rating loss 0.8579 |   600/ 2762 batches
[2022-05-05 12:40:56.291724]: context ppl 416.1042 | text ppl 33.0460 | rating loss 0.8588 |   800/ 2762 batches
[2022-05-05 12:41:16.356292]: context ppl 419.3876 | text ppl 33.2595 | rating loss 0.8579 |  1000/ 2762 batches
[2022-05-05 12:41:35.515021]: context ppl 417.3010 | text ppl 33.4507 | rating loss 0.8535 |  1200/ 2762 batches
[2022-05-05 12:41:54.671427]: context ppl 419.8887 | text ppl 33.3634 | rating loss 0.8650 |  1400/ 2762 batches
[2022-05-05 12:42:13.824313]: context ppl 419.0558 | text ppl 33.2666 | rating loss 0.8523 |  1600/ 2762 batches
[2022-05-05 12:42:32.983322]: context ppl 417.3326 | text ppl 33.2479 | rating loss 0.8542 |  1800/ 2762 batches
[2022-05-05 12:42:52.148238]: context ppl 418.4363 | text ppl 33.0367 | rating loss 0.8510 |  2000/ 2762 batches
[2022-05-05 12:43:11.303492]: context ppl 420.7763 | text ppl 33.1268 | rating loss 0.8705 |  2200/ 2762 batches
[2022-05-05 12:43:30.469774]: context ppl 417.9832 | text ppl 33.0953 | rating loss 0.8386 |  2400/ 2762 batches
[2022-05-05 12:43:49.629942]: context ppl 418.9284 | text ppl 33.2537 | rating loss 0.8640 |  2600/ 2762 batches
[2022-05-05 12:44:05.085732]: context ppl 421.6779 | text ppl 33.4277 | rating loss 0.8676 |  2762/ 2762 batches
[2022-05-05 12:44:17.139086]: context ppl 484.4363 | text ppl 43.1414 | rating loss 0.9262 | valid loss 4.6907 on validation
[2022-05-05 12:44:17.432086]: epoch 19
[2022-05-05 12:44:36.771530]: context ppl 414.9755 | text ppl 32.7290 | rating loss 0.8617 |   200/ 2762 batches
[2022-05-05 12:44:55.933601]: context ppl 413.7748 | text ppl 32.2799 | rating loss 0.8759 |   400/ 2762 batches
[2022-05-05 12:45:15.098570]: context ppl 416.7781 | text ppl 32.7763 | rating loss 0.8752 |   600/ 2762 batches
[2022-05-05 12:45:34.273238]: context ppl 417.6811 | text ppl 33.0190 | rating loss 0.8628 |   800/ 2762 batches
[2022-05-05 12:45:53.424553]: context ppl 416.9121 | text ppl 32.6193 | rating loss 0.8414 |  1000/ 2762 batches
[2022-05-05 12:46:12.588352]: context ppl 417.8265 | text ppl 33.1112 | rating loss 0.8511 |  1200/ 2762 batches
[2022-05-05 12:46:31.748403]: context ppl 419.5339 | text ppl 33.1445 | rating loss 0.8522 |  1400/ 2762 batches
[2022-05-05 12:46:50.904281]: context ppl 416.5786 | text ppl 32.8400 | rating loss 0.8618 |  1600/ 2762 batches
[2022-05-05 12:47:10.055471]: context ppl 418.5713 | text ppl 33.1544 | rating loss 0.8456 |  1800/ 2762 batches
[2022-05-05 12:47:29.214947]: context ppl 421.0569 | text ppl 33.3458 | rating loss 0.8386 |  2000/ 2762 batches
[2022-05-05 12:47:48.368911]: context ppl 419.4426 | text ppl 33.0372 | rating loss 0.8691 |  2200/ 2762 batches
[2022-05-05 12:48:07.524065]: context ppl 417.1961 | text ppl 33.0939 | rating loss 0.8467 |  2400/ 2762 batches
[2022-05-05 12:48:26.691163]: context ppl 415.3301 | text ppl 32.9446 | rating loss 0.8531 |  2600/ 2762 batches
[2022-05-05 12:48:42.143464]: context ppl 415.2445 | text ppl 32.8848 | rating loss 0.8645 |  2762/ 2762 batches
[2022-05-05 12:48:54.191646]: context ppl 484.5740 | text ppl 43.1729 | rating loss 0.9276 | valid loss 4.6928 on validation
[2022-05-05 12:48:54.191646]: Endured 3 time(s)
[2022-05-05 12:48:54.191646]: Learning rate set to 0.01562500
[2022-05-05 12:48:54.191646]: epoch 20
[2022-05-05 12:49:13.537194]: context ppl 414.4843 | text ppl 32.6275 | rating loss 0.8508 |   200/ 2762 batches
[2022-05-05 12:49:32.689732]: context ppl 415.5044 | text ppl 32.7024 | rating loss 0.8476 |   400/ 2762 batches
[2022-05-05 12:49:51.844107]: context ppl 411.2481 | text ppl 32.2964 | rating loss 0.8509 |   600/ 2762 batches
[2022-05-05 12:50:11.004388]: context ppl 415.6302 | text ppl 32.5597 | rating loss 0.8413 |   800/ 2762 batches
[2022-05-05 12:50:30.163130]: context ppl 417.1336 | text ppl 32.5566 | rating loss 0.8592 |  1000/ 2762 batches
[2022-05-05 12:50:49.317879]: context ppl 410.9188 | text ppl 32.0959 | rating loss 0.8445 |  1200/ 2762 batches
[2022-05-05 12:51:08.476276]: context ppl 417.2367 | text ppl 32.5309 | rating loss 0.8709 |  1400/ 2762 batches
[2022-05-05 12:51:27.629544]: context ppl 413.1185 | text ppl 32.3997 | rating loss 0.8518 |  1600/ 2762 batches
[2022-05-05 12:51:46.787000]: context ppl 414.8324 | text ppl 32.4315 | rating loss 0.8530 |  1800/ 2762 batches
[2022-05-05 12:52:05.930154]: context ppl 412.4292 | text ppl 32.4359 | rating loss 0.8487 |  2000/ 2762 batches
[2022-05-05 12:52:25.072613]: context ppl 413.5011 | text ppl 32.4271 | rating loss 0.8513 |  2200/ 2762 batches
[2022-05-05 12:52:44.221990]: context ppl 416.4964 | text ppl 32.8583 | rating loss 0.8587 |  2400/ 2762 batches
[2022-05-05 12:53:03.365383]: context ppl 415.4774 | text ppl 32.5722 | rating loss 0.8467 |  2600/ 2762 batches
[2022-05-05 12:53:18.812730]: context ppl 414.7777 | text ppl 32.7534 | rating loss 0.8437 |  2762/ 2762 batches
[2022-05-05 12:53:30.854980]: context ppl 485.1373 | text ppl 43.1201 | rating loss 0.9257 | valid loss 4.6896 on validation
[2022-05-05 12:53:31.228980]: epoch 21
[2022-05-05 12:53:50.554012]: context ppl 412.6112 | text ppl 32.2327 | rating loss 0.8652 |   200/ 2762 batches
[2022-05-05 12:54:09.727122]: context ppl 414.7946 | text ppl 32.3726 | rating loss 0.8313 |   400/ 2762 batches
[2022-05-05 12:54:28.880472]: context ppl 410.6748 | text ppl 32.0584 | rating loss 0.8496 |   600/ 2762 batches
[2022-05-05 12:54:48.025474]: context ppl 415.5212 | text ppl 32.8258 | rating loss 0.8528 |   800/ 2762 batches
[2022-05-05 12:55:07.172317]: context ppl 414.2033 | text ppl 32.3990 | rating loss 0.8622 |  1000/ 2762 batches
[2022-05-05 12:55:26.332753]: context ppl 412.6482 | text ppl 32.2761 | rating loss 0.8366 |  1200/ 2762 batches
[2022-05-05 12:55:45.487236]: context ppl 412.8130 | text ppl 32.2342 | rating loss 0.8431 |  1400/ 2762 batches
[2022-05-05 12:56:04.633553]: context ppl 417.1517 | text ppl 32.7804 | rating loss 0.8458 |  1600/ 2762 batches
[2022-05-05 12:56:23.790327]: context ppl 416.4672 | text ppl 32.5747 | rating loss 0.8509 |  1800/ 2762 batches
[2022-05-05 12:56:42.944841]: context ppl 415.7561 | text ppl 32.7571 | rating loss 0.8491 |  2000/ 2762 batches
[2022-05-05 12:57:02.100570]: context ppl 412.5423 | text ppl 32.3166 | rating loss 0.8571 |  2200/ 2762 batches
[2022-05-05 12:57:21.249085]: context ppl 413.9162 | text ppl 32.3104 | rating loss 0.8617 |  2400/ 2762 batches
[2022-05-05 12:57:40.391894]: context ppl 415.6591 | text ppl 32.6647 | rating loss 0.8606 |  2600/ 2762 batches
[2022-05-05 12:57:55.844491]: context ppl 415.2388 | text ppl 32.6070 | rating loss 0.8384 |  2762/ 2762 batches
[2022-05-05 12:58:07.886492]: context ppl 485.2924 | text ppl 43.1325 | rating loss 0.9266 | valid loss 4.6909 on validation
[2022-05-05 12:58:07.886492]: Endured 4 time(s)
[2022-05-05 12:58:07.886492]: Learning rate set to 0.00390625
[2022-05-05 12:58:07.886492]: epoch 22
[2022-05-05 12:58:27.215530]: context ppl 413.6171 | text ppl 32.2837 | rating loss 0.8347 |   200/ 2762 batches
[2022-05-05 12:58:46.354492]: context ppl 411.3981 | text ppl 32.5121 | rating loss 0.8622 |   400/ 2762 batches
[2022-05-05 12:59:05.511362]: context ppl 409.8255 | text ppl 32.0920 | rating loss 0.8529 |   600/ 2762 batches
[2022-05-05 12:59:24.661824]: context ppl 415.5087 | text ppl 32.4612 | rating loss 0.8483 |   800/ 2762 batches
[2022-05-05 12:59:43.808955]: context ppl 412.6337 | text ppl 32.2003 | rating loss 0.8528 |  1000/ 2762 batches
[2022-05-05 13:00:02.950160]: context ppl 412.5180 | text ppl 32.2618 | rating loss 0.8532 |  1200/ 2762 batches
[2022-05-05 13:00:22.084330]: context ppl 417.3924 | text ppl 32.4485 | rating loss 0.8422 |  1400/ 2762 batches
[2022-05-05 13:00:41.236244]: context ppl 414.0862 | text ppl 32.3175 | rating loss 0.8416 |  1600/ 2762 batches
[2022-05-05 13:01:00.380274]: context ppl 411.9996 | text ppl 32.1946 | rating loss 0.8731 |  1800/ 2762 batches
[2022-05-05 13:01:19.534224]: context ppl 412.1731 | text ppl 32.1020 | rating loss 0.8453 |  2000/ 2762 batches
[2022-05-05 13:01:38.680860]: context ppl 411.7072 | text ppl 32.2481 | rating loss 0.8628 |  2200/ 2762 batches
[2022-05-05 13:01:57.833290]: context ppl 419.2771 | text ppl 32.6660 | rating loss 0.8523 |  2400/ 2762 batches
[2022-05-05 13:02:16.988409]: context ppl 413.3446 | text ppl 32.4441 | rating loss 0.8273 |  2600/ 2762 batches
[2022-05-05 13:02:32.433485]: context ppl 415.8070 | text ppl 32.5698 | rating loss 0.8580 |  2762/ 2762 batches
[2022-05-05 13:02:44.475940]: context ppl 485.0640 | text ppl 43.1111 | rating loss 0.9264 | valid loss 4.6902 on validation
[2022-05-05 13:02:44.475940]: Endured 5 time(s)
[2022-05-05 13:02:44.475940]: Cannot endure it anymore | Exiting from early stop
=========================================================================================
[2022-05-05 13:02:56.633409]: context ppl 486.9195 | text ppl 43.4724 | rating loss 0.9192 on test | End of training
[2022-05-05 13:02:56.633409]: Generating text
[2022-05-05 13:03:51.981675]: RMSE  0.9496
[2022-05-05 13:03:51.989672]: MAE  0.7160
[2022-05-05 13:03:54.235350]: BLEU-1 19.8798
[2022-05-05 13:03:57.237367]: BLEU-4  3.1242
[2022-05-05 13:04:42.194204]: USR  0.4446 | USN   19643
[2022-05-05 13:09:54.144180]: DIV  1.2377
[2022-05-05 13:09:55.606223]: FCR  0.3073
[2022-05-05 13:09:55.618224]: FMR  0.7830
[2022-05-05 13:09:59.618536]: rouge_1/f_score 26.5962
[2022-05-05 13:09:59.619538]: rouge_1/r_score 24.2206
[2022-05-05 13:09:59.619538]: rouge_1/p_score 34.9782
[2022-05-05 13:09:59.619538]: rouge_2/f_score  6.8580
[2022-05-05 13:09:59.619538]: rouge_2/r_score  6.3730
[2022-05-05 13:09:59.619538]: rouge_2/p_score  9.2393
[2022-05-05 13:09:59.619538]: rouge_l/f_score 20.1228
[2022-05-05 13:09:59.619538]: rouge_l/r_score 21.4690
[2022-05-05 13:09:59.619538]: rouge_l/p_score 28.7067
[2022-05-05 13:09:59.813542]: Generated text saved to (./models/AmazonMovies/generatedmovies.txt)
